Title,Year,Director,Stars,Duration,Trailer_Duration,Genre,Rating,Movie_url
The Shawshank Redemption ,1994,Frank Darabont,"Tim Robbins,Morgan Freeman,Bob Gunton",2h 22min,2:11,Drama,9.3 / 10,https://www.imdb.com/title/tt0111161/
The Lives of Others ,2006,Florian Henckel von Donnersmarck,"Ulrich Mühe,Martina Gedeck,Sebastian Koch",2h 17min,,Drama,8.4 / 10,https://www.imdb.com/title/tt0405094/
Like Stars on Earth ,2007,Aamir Khan,"Darsheel Safary,Aamir Khan,Tisca Chopra",2h 45min,1:15,Drama,8.4 / 10,https://www.imdb.com/title/tt0986264/
Dangal ,2016,Nitesh Tiwari,"Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh",2h 41min,3:15,Action,8.4 / 10,https://www.imdb.com/title/tt5074352/
Django Unchained ,2012,Quentin Tarantino,"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio",2h 45min,1:25,Drama,8.4 / 10,https://www.imdb.com/title/tt1853728/
3 Idiots ,2009,Rajkumar Hirani,"Aamir Khan,Madhavan,Mona Singh",2h 50min,1:34,Comedy,8.4 / 10,https://www.imdb.com/title/tt1187043/
Your Name. ,2016,Makoto Shinkai,"Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita",1h 46min,1:48,Animation,8.4 / 10,https://www.imdb.com/title/tt5311514/
Avengers: Endgame ,2019,Anthony Russo,"Robert Downey Jr.,Chris Evans,Mark Ruffalo",3h 1min,1:06,Action,8.4 / 10,https://www.imdb.com/title/tt4154796/
Anand ,1971,Hrishikesh Mukherjee,"Rajesh Khanna,Amitabh Bachchan,Sumita Sanyal",2h 2min,1:28,Drama,8.5 / 10,https://www.imdb.com/title/tt0066763/
Capernaum ,2018,Nadine Labaki,"Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole",2h 6min,2:10,Drama,8.4 / 10,https://www.imdb.com/title/tt8267604/
City Lights ,1931,Charles Chaplin,"Charles Chaplin,Virginia Cherrill,Florence Lee",1h 27min,,Comedy,8.5 / 10,https://www.imdb.com/title/tt0021749/
Modern Times ,1936,Charles Chaplin,"Charles Chaplin,Paulette Goddard,Henry Bergman",1h 27min,,Comedy,8.5 / 10,https://www.imdb.com/title/tt0027977/
The Lion King ,1994,Roger Allers,"Matthew Broderick,Jeremy Irons,James Earl Jones",1h 28min,1:20,Animation,8.5 / 10,https://www.imdb.com/title/tt0110357/
Léon: The Professional ,1994,Luc Besson,"Jean Reno,Gary Oldman,Natalie Portman",1h 50min,2:25,Action,8.5 / 10,https://www.imdb.com/title/tt0110413/
Grave of the Fireflies ,1988,Isao Takahata,"Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi",1h 29min,1:47,Animation,8.5 / 10,https://www.imdb.com/title/tt0095327/
Cinema Paradiso ,1988,Giuseppe Tornatore,"Philippe Noiret,Enzo Cannavale,Antonella Attili",2h 35min,2:02,Drama,8.5 / 10,https://www.imdb.com/title/tt0095765/
American History X ,1998,Tony Kaye,"Edward Norton,Edward Furlong,Beverly D'Angelo",1h 59min,2:25,Drama,8.5 / 10,https://www.imdb.com/title/tt0120586/
Gladiator ,2000,Ridley Scott,"Russell Crowe,Joaquin Phoenix,Connie Nielsen",2h 35min,2:45,Action,8.5 / 10,https://www.imdb.com/title/tt0172495/
The Pianist ,2002,Roman Polanski,"Adrien Brody,Thomas Kretschmann,Frank Finlay",2h 30min,1:21,Biography,8.5 / 10,https://www.imdb.com/title/tt0253474/
Casablanca ,1942,Michael Curtiz,"Humphrey Bogart,Ingrid Bergman,Paul Henreid",1h 42min,2:10,Drama,8.5 / 10,https://www.imdb.com/title/tt0034583/
Pan's Labyrinth ,2006,Guillermo del Toro,"Ivana Baquero,Ariadna Gil,Sergi López",1h 58min,1:50,Drama,8.2 / 10,https://www.imdb.com/title/tt0457430/
Rang De Basanti ,2006,Rakeysh Omprakash Mehra,"Aamir Khan,Soha Ali Khan,Siddharth",2h 47min,1:55,Comedy,8.2 / 10,https://www.imdb.com/title/tt0405508/
The Wolf of Wall Street ,2013,Martin Scorsese,"Leonardo DiCaprio,Jonah Hill,Margot Robbie",3h,2:33,Biography,8.2 / 10,https://www.imdb.com/title/tt0993846/
V for Vendetta ,2005,James McTeigue,"Hugo Weaving,Natalie Portman,Rupert Graves",2h 12min,2:24,Action,8.2 / 10,https://www.imdb.com/title/tt0434409/
The Departed ,2006,Martin Scorsese,"Leonardo DiCaprio,Matt Damon,Jack Nicholson",2h 31min,0:31,Crime,8.5 / 10,https://www.imdb.com/title/tt0407887/
The Secret in Their Eyes ,2009,Juan José Campanella,"Ricardo Darín,Soledad Villamil,Pablo Rago",2h 9min,1:18,Drama,8.2 / 10,https://www.imdb.com/title/tt1305806/
Warrior ,2011,Gavin O'Connor,"Tom Hardy,Nick Nolte,Joel Edgerton",2h 20min,2:31,Action,8.2 / 10,https://www.imdb.com/title/tt1291584/
Gangs of Wasseypur ,2012,Anurag Kashyap,"Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui",5h 21min,2:38,Action,8.2 / 10,https://www.imdb.com/title/tt1954470/
Drishyam ,2015,Nishikant Kamat,"Ajay Devgn,Shriya Saran,Tabu",2h 43min,3:13,Crime,8.2 / 10,https://www.imdb.com/title/tt4430212/
"Three Billboards Outside Ebbing, Missouri ",2017,Martin McDonagh,"Frances McDormand,Woody Harrelson,Sam Rockwell",1h 55min,1:01,Comedy,8.2 / 10,https://www.imdb.com/title/tt5027774/
Metropolis ,1927,Fritz Lang,"Brigitte Helm,Alfred Abel,Gustav Fröhlich",2h 33min,2:00,Drama,8.3 / 10,https://www.imdb.com/title/tt0017136/
There Will Be Blood ,2007,Paul Thomas Anderson,"Daniel Day-Lewis,Paul Dano,Ciarán Hinds",2h 38min,2:14,Drama,8.2 / 10,https://www.imdb.com/title/tt0469494/
Citizen Kane ,1941,Orson Welles,"Orson Welles,Joseph Cotten,Dorothy Comingore",1h 59min,3:46,Drama,8.3 / 10,https://www.imdb.com/title/tt0033467/
The Kid ,1921,Charles Chaplin,"Charles Chaplin,Edna Purviance,Jackie Coogan",1h 8min,,Comedy,8.3 / 10,https://www.imdb.com/title/tt0012349/
Bicycle Thieves ,1948,Vittorio De Sica,"Lamberto Maggiorani,Enzo Staiola,Lianella Carell",1h 29min,2:00,Drama,8.3 / 10,https://www.imdb.com/title/tt0040522/
Double Indemnity ,1944,Billy Wilder,"Fred MacMurray,Barbara Stanwyck,Edward G. Robinson",1h 47min,2:16,Crime,8.3 / 10,https://www.imdb.com/title/tt0036775/
The Sixth Sense ,1999,M. Night Shyamalan,"Bruce Willis,Haley Joel Osment,Toni Collette",1h 47min,1:00,Drama,8.1 / 10,https://www.imdb.com/title/tt0167404/
Neon Genesis Evangelion: The End of Evangelion ,1997,Hideaki Anno,"Megumi Ogata,Megumi Hayashibara,Yûko Miyamura",1h 27min,1:39,Animation,8.1 / 10,https://www.imdb.com/title/tt0169858/
Green Book ,2018,Peter Farrelly,"Viggo Mortensen,Mahershala Ali,Linda Cardellini",2h 10min,2:31,Biography,8.2 / 10,https://www.imdb.com/title/tt6966692/
Amores Perros ,2000,Alejandro G. Iñárritu,"Emilio Echevarría,Gael García Bernal,Goya Toledo",2h 34min,1:51,Drama,8.1 / 10,https://www.imdb.com/title/tt0245712/
Memories of Murder ,2003,Bong Joon Ho,"Kang-ho Song,Sang-kyung Kim,Roe-ha Kim",2h 12min,2:07,Action,8.1 / 10,https://www.imdb.com/title/tt0353969/
Million Dollar Baby ,2004,Clint Eastwood,"Hilary Swank,Clint Eastwood,Morgan Freeman",2h 12min,1:52,Drama,8.1 / 10,https://www.imdb.com/title/tt0405159/
Into the Wild ,2007,Sean Penn,"Emile Hirsch,Vince Vaughn,Catherine Keener",2h 28min,2:32,Adventure,8.1 / 10,https://www.imdb.com/title/tt0758758/
Hotel Rwanda ,2004,Terry George,"Don Cheadle,Sophie Okonedo,Joaquin Phoenix",2h 1min,,Biography,8.1 / 10,https://www.imdb.com/title/tt0395169/
No Country for Old Men ,2007,Ethan Coen,"Tommy Lee Jones,Javier Bardem,Josh Brolin",2h 2min,2:32,Crime,8.1 / 10,https://www.imdb.com/title/tt0477348/
Hachi: A Dog's Tale ,2009,Lasse Hallström,"Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa",1h 33min,2:14,Drama,8.1 / 10,https://www.imdb.com/title/tt1028532/
Catch Me If You Can ,2002,Steven Spielberg,"Leonardo DiCaprio,Tom Hanks,Christopher Walken",2h 21min,2:32,Biography,8.1 / 10,https://www.imdb.com/title/tt0264464/
Prisoners ,2013,Denis Villeneuve,"Hugh Jackman,Jake Gyllenhaal,Viola Davis",2h 33min,1:54,Crime,8.1 / 10,https://www.imdb.com/title/tt1392214/
Harry Potter and the Deathly Hallows: Part 2 ,2011,David Yates,"Daniel Radcliffe,Emma Watson,Rupert Grint",2h 10min,2:33,Adventure,8.1 / 10,https://www.imdb.com/title/tt1201607/
Gran Torino ,2008,Clint Eastwood,"Clint Eastwood,Bee Vang,Christopher Carley",1h 56min,4:31,Drama,8.1 / 10,https://www.imdb.com/title/tt1205489/
Mary and Max ,2009,Adam Elliot,"Toni Collette,Philip Seymour Hoffman,Eric Bana",1h 32min,2:31,Animation,8.1 / 10,https://www.imdb.com/title/tt0978762/
Mr. Smith Goes to Washington ,1939,Frank Capra,"James Stewart,Jean Arthur,Claude Rains",2h 9min,1:37,Comedy,8.1 / 10,https://www.imdb.com/title/tt0031679/
The Help ,2011,Tate Taylor,"Emma Stone,Viola Davis,Octavia Spencer",2h 26min,2:30,Drama,8.0 / 10,https://www.imdb.com/title/tt1454029/
Rebecca ,1940,Alfred Hitchcock,"Laurence Olivier,Joan Fontaine,George Sanders",2h 10min,0:21,Drama,8.1 / 10,https://www.imdb.com/title/tt0032976/
The General ,1926,Clyde Bruckman,"Buster Keaton,Marion Mack,Glen Cavender",1h 7min,1:03,Action,8.1 / 10,https://www.imdb.com/title/tt0017925/
Before Sunset ,2004,Richard Linklater,"Ethan Hawke,Julie Delpy,Vernon Dobtcheff",1h 20min,2:14,Drama,8.0 / 10,https://www.imdb.com/title/tt0381681/
Gone with the Wind ,1939,Victor Fleming,"Clark Gable,Vivien Leigh,Thomas Mitchell",3h 58min,1:56,Drama,8.1 / 10,https://www.imdb.com/title/tt0031381/
Throne of Blood ,1957,Akira Kurosawa,"Toshirô Mifune,Minoru Chiaki,Isuzu Yamada",1h 50min,,Drama,8.1 / 10,https://www.imdb.com/title/tt0050613/
On the Waterfront ,1954,Elia Kazan,"Marlon Brando,Karl Malden,Lee J. Cobb",1h 48min,1:36,Crime,8.1 / 10,https://www.imdb.com/title/tt0047296/
The Battle of Algiers ,1966,Gillo Pontecorvo,"Brahim Hadjadj,Jean Martin,Yacef Saadi",2h 1min,2:01,Drama,8.1 / 10,https://www.imdb.com/title/tt0058946/
Ben-Hur ,1959,William Wyler,"Charlton Heston,Jack Hawkins,Stephen Boyd",3h 32min,3:00,Adventure,8.1 / 10,https://www.imdb.com/title/tt0052618/
The Passion of Joan of Arc ,1928,Carl Theodor Dreyer,"Maria Falconetti,Eugene Silvain,André Berley",1h 54min,1:03,Biography,8.1 / 10,https://www.imdb.com/title/tt0019254/
The Bridge on the River Kwai ,1957,David Lean,"William Holden,Alec Guinness,Jack Hawkins",2h 41min,3:07,Adventure,8.1 / 10,https://www.imdb.com/title/tt0050212/
Andrei Rublev ,1966,Andrei Tarkovsky,"Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko",3h 25min,,Biography,8.1 / 10,https://www.imdb.com/title/tt0060107/
Cool Hand Luke ,1967,Stuart Rosenberg,"Paul Newman,George Kennedy,Strother Martin",2h 7min,2:48,Crime,8.1 / 10,https://www.imdb.com/title/tt0061512/
The Wages of Fear ,1953,Henri-Georges Clouzot,"Yves Montand,Charles Vanel,Peter van Eyck",2h 11min,2:42,Adventure,8.1 / 10,https://www.imdb.com/title/tt0046268/
The 400 Blows ,1959,François Truffaut,"Jean-Pierre Léaud,Albert Rémy,Claire Maurier",1h 39min,1:06,Crime,8.1 / 10,https://www.imdb.com/title/tt0053198/
Persona ,1966,Ingmar Bergman,"Bibi Andersson,Liv Ullmann,Margaretha Krook",1h 23min,5:01,Drama,8.1 / 10,https://www.imdb.com/title/tt0060827/
The Deer Hunter ,1978,Michael Cimino,"Robert De Niro,Christopher Walken,John Cazale",3h 3min,2:45,Drama,8.1 / 10,https://www.imdb.com/title/tt0077416/
The Elephant Man ,1980,David Lynch,"Anthony Hopkins,John Hurt,Anne Bancroft",2h 4min,1:01,Biography,8.1 / 10,https://www.imdb.com/title/tt0080678/
Rocky ,1976,John G. Avildsen,"Sylvester Stallone,Talia Shire,Burt Young",2h,0:34,Drama,8.1 / 10,https://www.imdb.com/title/tt0075148/
Barry Lyndon ,1975,Stanley Kubrick,"Ryan O'Neal,Marisa Berenson,Patrick Magee",3h 5min,2:08,Adventure,8.1 / 10,https://www.imdb.com/title/tt0072684/
Dead Poets Society ,1989,Peter Weir,"Robin Williams,Robert Sean Leonard,Ethan Hawke",2h 8min,3:06,Comedy,8.1 / 10,https://www.imdb.com/title/tt0097165/
"Paris, Texas ",1984,Wim Wenders,"Harry Dean Stanton,Nastassja Kinski,Dean Stockwell",2h 25min,2:18,Drama,8.1 / 10,https://www.imdb.com/title/tt0087884/
Stand by Me ,1986,Rob Reiner,"Wil Wheaton,River Phoenix,Corey Feldman",1h 29min,1:15,Adventure,8.1 / 10,https://www.imdb.com/title/tt0092005/
Network ,1976,Sidney Lumet,"Faye Dunaway,William Holden,Peter Finch",2h 1min,2:59,Drama,8.1 / 10,https://www.imdb.com/title/tt0074958/
Platoon ,1986,Oliver Stone,"Charlie Sheen,Tom Berenger,Willem Dafoe",2h,0:31,Drama,8.1 / 10,https://www.imdb.com/title/tt0091763/
Before Sunrise ,1995,Richard Linklater,"Ethan Hawke,Julie Delpy,Andrea Eckert",1h 41min,1:46,Drama,8.1 / 10,https://www.imdb.com/title/tt0112471/
In the Name of the Father ,1993,Jim Sheridan,"Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie",2h 13min,,Biography,8.1 / 10,https://www.imdb.com/title/tt0107207/
Fargo ,1996,Joel Coen,"William H. Macy,Frances McDormand,Steve Buscemi",1h 38min,0:32,Crime,8.1 / 10,https://www.imdb.com/title/tt0116282/
La Haine ,1995,Mathieu Kassovitz,"Vincent Cassel,Hubert Koundé,Saïd Taghmaoui",1h 38min,3:34,Crime,8.1 / 10,https://www.imdb.com/title/tt0113247/
In the Mood for Love ,2000,Kar-Wai Wong,"Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu",1h 38min,1:23,Drama,8.1 / 10,https://www.imdb.com/title/tt0118694/
Trainspotting ,1996,Danny Boyle,"Ewan McGregor,Ewen Bremner,Jonny Lee Miller",1h 33min,1:55,Drama,8.1 / 10,https://www.imdb.com/title/tt0117951/
Hacksaw Ridge ,2016,Mel Gibson,"Andrew Garfield,Sam Worthington,Luke Bracey",2h 19min,2:26,Biography,8.1 / 10,https://www.imdb.com/title/tt2119532/
Gone Girl ,2014,David Fincher,"Ben Affleck,Rosamund Pike,Neil Patrick Harris",2h 29min,0:59,Drama,8.1 / 10,https://www.imdb.com/title/tt2267998/
The Truman Show ,1998,Peter Weir,"Jim Carrey,Ed Harris,Laura Linney",1h 43min,2:32,Comedy,8.1 / 10,https://www.imdb.com/title/tt0120382/
Rush ,2013,Ron Howard,"Daniel Brühl,Chris Hemsworth,Olivia Wilde",2h 3min,2:34,Action,8.1 / 10,https://www.imdb.com/title/tt1979320/
Inside Out ,2015,Pete Docter,"Amy Poehler,Bill Hader,Lewis Black",1h 35min,0:32,Animation,8.1 / 10,https://www.imdb.com/title/tt2096673/
Ford v Ferrari ,2019,James Mangold,"Matt Damon,Christian Bale,Jon Bernthal",2h 32min,2:29,Action,8.1 / 10,https://www.imdb.com/title/tt1950186/
Spotlight ,2015,Tom McCarthy,"Mark Ruffalo,Michael Keaton,Rachel McAdams",2h 9min,1:02,Biography,8.1 / 10,https://www.imdb.com/title/tt1895587/
